product_sku,product_name,brand,tipo,unit,stock_current,qty_sold_total,sales_total,cost_total,profit_total,price_variants_count,price_variants
SKU-50A319EDA9,cinta capibara,,,unidad,4.0,16.0,137.0,73.45,63.55,2,1.0|12.0
SKU-6E4CFB4AB7,cinta de cabello verde y kaky,,,unidad,119.0,1.0,0.5,0.3,0.2,1,0.5
SKU-3BE5E01407,Cinta de color maskin taps,,Cinta,Unidad,6.0,1.0,4.0,2.3286,1.6714,1,4.0
SKU-49328EA6BC,Cinta de colores grande,,Cinta,Unidad,55.0,5.0,5.0,0.0,5.0,1,1.0
SKU-816F692D19,Cinta Durafan scosh  pequeño12*14,,Cinta,Unidad,22.0,9.0,4.5,1.8,2.7,1,0.5
SKU-98985FC2E2,Cinta electrica,,Cinta,Unidad,5.0,4.0,6.0,3.2,2.8,1,1.5
SKU-0AF223D840,Cinta Grande Brudan Peru embalaje,,Cinta,Unidad,63.0,3.0,6.0,2.25,3.75,1,2.0
SKU-EE5659CFF7,Cinta Grande Durango embalaje,,Cinta,Unidad,10.0,8.0,40.0,19.8333,20.1667,1,5.0
SKU-51D94161E4,Cinta Leon scosh pq grueso 18*45,,Cinta,Unidad,3.0,5.0,10.0,5.0,5.0,1,2.0
SKU-80852C9B2C,Cinta Maskin Pegafan 24mm,,Cinta,Unidad,15.0,1.0,3.0,2.0,1.0,1,3.0
SKU-FE61DF628C,Cinta Maskin Pegafan 48mm,,Cinta,Unidad,10.0,2.0,10.0,6.3333,3.6667,1,5.0
SKU-36871BCFD9,Cinta Maskin shurtape 1 1/2*15,,Cinta,Unidad,17.0,3.0,12.0,9.0,3.0,1,4.0
SKU-FEB8C87076,Cinta Maskin shurtape 1/2*15,,Cinta,Unidad,2.0,1.0,1.5,0.8333,0.6667,1,1.5
SKU-A744CA3157,Cinta Maskin shurtaple 1*15,,Cinta,Unidad,38.0,1.0,2.5,1.5,1.0,1,2.5
SKU-F0F3D54703,Cinta Maskin shurtaple 2*15,,Cinta,unidad,16.0,8.0,36.0,17.3333,18.6667,1,4.5
SKU-74D37CB40E,Cinta scoth delgado,,Cinta,unidad,57.0,15.0,15.0,3.5417,11.4583,1,1.0
