supplier_name,supplier_code,purchase_batch,product_sku,product_name,unit,qty,cost_unit,total_cost,etiqueta_nuevo
Tania Yucra,SUP-TANIA-YUCRA,COMPRA-HOJA1-TANIA-YUCRA,SKU-D6FF0730E9,Cinta Maskin Shurtape 3/4*15,Unidad,2.0,1.0,2.0,
Tania Yucra,SUP-TANIA-YUCRA,COMPRA-HOJA1-TANIA-YUCRA,SKU-FEB8C87076,Cinta Maskin shurtape 1/2*15,Unidad,3.0,0.833333,2.5,
Tania Yucra,SUP-TANIA-YUCRA,COMPRA-HOJA1-TANIA-YUCRA,SKU-36871BCFD9,Cinta Maskin shurtape 1 1/2*15,Unidad,20.0,3.0,60.0,
Tania Yucra,SUP-TANIA-YUCRA,COMPRA-HOJA1-TANIA-YUCRA,SKU-A744CA3157,Cinta Maskin shurtaple 1*15,Unidad,27.0,1.666667,45.0,
Tania Yucra,SUP-TANIA-YUCRA,COMPRA-HOJA1-TANIA-YUCRA,SKU-49328EA6BC,Cinta de colores grande,Paquete,6.0,0.0,0.0,
Tania Yucra,SUP-TANIA-YUCRA,COMPRA-HOJA1-TANIA-YUCRA,SKU-1D043D31FE,Cinta de colores pequeño,Paquete,1.0,0.0,0.0,
Tania Yucra,SUP-TANIA-YUCRA,COMPRA-HOJA1-TANIA-YUCRA,SKU-43639DD892,Lapices de Color largos x 12,Unidad,10.0,4.66,46.6,
Tania Yucra,SUP-TANIA-YUCRA,COMPRA-HOJA1-TANIA-YUCRA,SKU-2AC9B9F61B,lapiz de color pequeño x 12,Unidad,11.0,2.832727,31.16,
Tania Yucra,SUP-TANIA-YUCRA,COMPRA-HOJA1-TANIA-YUCRA,SKU-CD28C46730,Fastener de metal,Cajitas,8.0,4.0,32.0,
Tania Yucra,SUP-TANIA-YUCRA,COMPRA-HOJA1-TANIA-YUCRA,SKU-E9EF9D1B06,Fastener de Gusano,Unidad,32.0,0.959375,30.7,
Tania Yucra,SUP-TANIA-YUCRA,COMPRA-HOJA1-TANIA-YUCRA,SKU-9F897FBDE0,Tomatodo Grande,Unidad,4.0,12.0,48.0,
Tania Yucra,SUP-TANIA-YUCRA,COMPRA-HOJA1-TANIA-YUCRA,SKU-31ACA0DEE5,Tomatodo pequeño,Unidad,7.0,7.0,49.0,
Tania Yucra,SUP-TANIA-YUCRA,COMPRA-HOJA1-TANIA-YUCRA,SKU-9A43DE1973,Tomatodo Mediano tricolor,Unidad,15.0,12.0,180.0,
Tania Yucra,SUP-TANIA-YUCRA,COMPRA-HOJA1-TANIA-YUCRA,SKU-78A62B9611,Papel Lustre,Unidad,144.0,0.2,28.8,
Tania Yucra,SUP-TANIA-YUCRA,COMPRA-HOJA1-TANIA-YUCRA,SKU-F0BB6DEF54,Papel de regalo,Unidad,122.0,0.279508,34.1,
Tania Yucra,SUP-TANIA-YUCRA,COMPRA-HOJA1-TANIA-YUCRA,SKU-103C7E2AE9,Papel corrugado,Unidad,26.0,2.4,62.4,
Tania Yucra,SUP-TANIA-YUCRA,COMPRA-HOJA1-TANIA-YUCRA,SKU-1EDA4B9225,Papel Corrospum,Unidad,33.0,3.5,115.5,
Tania Yucra,SUP-TANIA-YUCRA,COMPRA-HOJA1-TANIA-YUCRA,SKU-283B2C011D,Papel Craft,Unidad,72.0,0.319444,23.0,
Tania Yucra,SUP-TANIA-YUCRA,COMPRA-HOJA1-TANIA-YUCRA,SKU-9D4E4EE716,Papel Sedita,Unidad,59.0,0.135593,8.0,
Tania Yucra,SUP-TANIA-YUCRA,COMPRA-HOJA1-TANIA-YUCRA,SKU-9FCECC1704,Papel Cometa,Unidad,66.0,0.2,13.2,
Tania Yucra,SUP-TANIA-YUCRA,COMPRA-HOJA1-TANIA-YUCRA,SKU-BB482D8842,Papel celofan,Unidad,5.0,0.44,2.2,
Tania Yucra,SUP-TANIA-YUCRA,COMPRA-HOJA1-TANIA-YUCRA,SKU-E51E19D0B3,Papel Cuadriculado 1x1,Unidad,137.0,0.218978,30.0,
Tania Yucra,SUP-TANIA-YUCRA,COMPRA-HOJA1-TANIA-YUCRA,SKU-B82DE634A2,Papel Cuadrimax 2x2,Unidad,200.0,0.205,41.0,
Tania Yucra,SUP-TANIA-YUCRA,COMPRA-HOJA1-TANIA-YUCRA,SKU-A47A5E460A,Papel microporoso escarchado,Unidad,10.0,3.0,30.0,
Tania Yucra,SUP-TANIA-YUCRA,COMPRA-HOJA1-TANIA-YUCRA,SKU-7762F9C08A,Papel Crepe,Unidad,52.0,0.6,31.2,
Tania Yucra,SUP-TANIA-YUCRA,COMPRA-HOJA1-TANIA-YUCRA,SKU-6884E99187,Papelote blanco,Unidad,45.0,0.2,9.0,
Tania Yucra,SUP-TANIA-YUCRA,COMPRA-HOJA1-TANIA-YUCRA,SKU-14DDD5EBC1,Cartulina a colores,Unidad,47.0,0.419149,19.7,
Tania Yucra,SUP-TANIA-YUCRA,COMPRA-HOJA1-TANIA-YUCRA,SKU-EC244CF0A7,Cartulina Fosforesente,Unidad,45.0,2.5,112.5,
Tania Yucra,SUP-TANIA-YUCRA,COMPRA-HOJA1-TANIA-YUCRA,SKU-B977212681,Papel Arcoiris,Paquete,7.0,19.0,133.0,
Tania Yucra,SUP-TANIA-YUCRA,COMPRA-HOJA1-TANIA-YUCRA,SKU-3023CF7487,Papel Punzones A4,Unidad,10.0,1.5,15.0,
Tania Yucra,SUP-TANIA-YUCRA,COMPRA-HOJA1-TANIA-YUCRA,SKU-E819015A56,Papel Cuadernillo,Sobre,45.0,0.0,0.0,
Tania Yucra,SUP-TANIA-YUCRA,COMPRA-HOJA1-TANIA-YUCRA,SKU-FAB7A65F90,Reglas de 20 cm,Unidad,38.0,0.557895,21.2,
Tania Yucra,SUP-TANIA-YUCRA,COMPRA-HOJA1-TANIA-YUCRA,SKU-AB58B8B259,Reglas de 30 cm,Unidad,49.0,0.640816,31.4,
Tania Yucra,SUP-TANIA-YUCRA,COMPRA-HOJA1-TANIA-YUCRA,SKU-9FD0B9F742,Juego de reglas 20 cm,Unidad,15.0,2.0,30.0,
Tania Yucra,SUP-TANIA-YUCRA,COMPRA-HOJA1-TANIA-YUCRA,SKU-53F12AE701,Juego de reglas 30 cm,Unidad,21.0,3.0,63.0,
Tania Yucra,SUP-TANIA-YUCRA,COMPRA-HOJA1-TANIA-YUCRA,SKU-5FE2F611DF,Portafolio Papel,Unidad,8.0,5.0,40.0,
Tania Yucra,SUP-TANIA-YUCRA,COMPRA-HOJA1-TANIA-YUCRA,SKU-00358783C1,Ray Perú y Artesco,Unidad,21.0,5.333333,112.0,
Tania Yucra,SUP-TANIA-YUCRA,COMPRA-HOJA1-TANIA-YUCRA,SKU-0E6AA9F21D,Paletas de pinturas,Unidad,12.0,1.166667,14.0,
Tania Yucra,SUP-TANIA-YUCRA,COMPRA-HOJA1-TANIA-YUCRA,SKU-5253FC1878,Rompecabezas de 20 piesas,Unidad,23.0,5.826087,134.0,
Tania Yucra,SUP-TANIA-YUCRA,COMPRA-HOJA1-TANIA-YUCRA,SKU-114F4CCCFD,Rompecabezas de 50 piesas,Unidad,1.0,15.0,15.0,
Tania Yucra,SUP-TANIA-YUCRA,COMPRA-HOJA1-TANIA-YUCRA,SKU-54906A7627,Crayones Jumbo,Unidad,54.0,3.083333,166.5,
Tania Yucra,SUP-TANIA-YUCRA,COMPRA-HOJA1-TANIA-YUCRA,SKU-FF0A8D4DCB,Plastilina,Docena,3.0,35.0,105.0,
Tania Yucra,SUP-TANIA-YUCRA,COMPRA-HOJA1-TANIA-YUCRA,SKU-CBB8FF3308,Perforador,Unidad,13.0,5.5,71.5,
