sale_ref,customer_code,customer_name,product_sku,product_name,brand,tipo,unit,qty,price_unit,line_total,cost_total,profit_total,weeks
VENTA-2025-0135,CLI-2025,clients-2025,SKU-7CD255990C,silicona liquida pequeña,,,unidad,1.0,1.5,1.5,1.0833,0.4167,SEMANA-3-A
VENTA-2025-0136,CLI-2025,clients-2025,SKU-7EEE248D9B,Silicona delgada en barra,,silicona,unidad,110.0,0.5,55.0,25.6164,29.3836,"SEMANA-1-A,SEMANA-3-A"
VENTA-2025-0137,CLI-2025,clients-2025,SKU-7FE37C8EBE,Cartuchera Mike Crack,,Cartuchera,Unidad,3.0,10.0,30.0,21.0,9.0,SEMANA-1-A
VENTA-2025-0138,CLI-2025,clients-2025,SKU-807FCCA0D5,Folder Genius,,Folder,Unidad,2.0,4.5,9.0,5.34,3.66,SEMANA-1-A
VENTA-2025-0139,CLI-2025,clients-2025,SKU-80852C9B2C,Cinta Maskin Pegafan 24mm,,Cinta,Unidad,1.0,3.0,3.0,2.0,1.0,SEMANA-1-A
VENTA-2025-0140,CLI-2025,clients-2025,SKU-80F3629E6F,Folder a color de cartulina,,Folder,Unidad,2.0,1.0,2.0,0.72,1.28,SEMANA-3-A
VENTA-2025-0141,CLI-2025,clients-2025,SKU-8130CA3015,Lana de colores,,,Unidad,2.0,1.0,2.0,1.0,1.0,SEMANA-3-A
VENTA-2025-0142,CLI-2025,clients-2025,SKU-816F692D19,Cinta Durafan scosh  pequeño12*14,,Cinta,Unidad,9.0,0.5,4.5,1.8,2.7,"SEMANA-1-A,SEMANA-3-A"
VENTA-2025-0143,CLI-2025,clients-2025,SKU-818ED060B7,Dados pequeños,,,Unidad,2.0,0.5,1.0,0.5,0.5,SEMANA-3-A
VENTA-2025-0144,CLI-2025,clients-2025,SKU-81A994DEC0,Lapiz Chequeo Rojo,Artesco,Lapiz,Unidad,12.0,1.0,12.0,6.0,6.0,"SEMANA-1-A,SEMANA-2-A,SEMANA-3-A"
VENTA-2025-0145,CLI-2025,clients-2025,SKU-81B56FA010,jaboncillo camai,,,unidad,2.0,3.5,7.0,5.0,2.0,SEMANA-1-A
VENTA-2025-0146,CLI-2025,clients-2025,SKU-826C40E118,Corrector Oval de 2 pares,Oval,Corector,Unidad,4.0,2.0,8.0,2.4828,5.5172,"SEMANA-1-A,SEMANA-3-A"
VENTA-2025-0147,CLI-2025,clients-2025,SKU-833F6730BA,cuaderno arcoiris triple reglon,arcoiris,cuadernos,Unidad,6.0,4.0,24.0,13.8,10.2,"SEMANA-1-A,SEMANA-3-A"
VENTA-2025-0148,CLI-2025,clients-2025,SKU-83CD5D38B1,Borrador Aval x 20,Oval,Borrador,unidad,5.0,1.0,5.0,2.5,2.5,"SEMANA-1-A,SEMANA-3-A"
VENTA-2025-0149,CLI-2025,clients-2025,SKU-83F6CC885D,Goma liquida 125g,Layconsa,Goma,unidad,1.0,3.0,3.0,2.0,1.0,SEMANA-2-A
VENTA-2025-0150,CLI-2025,clients-2025,SKU-8601F96067,Puntero,,,unidad,2.0,3.5,7.0,5.6667,1.3333,SEMANA-3-A
VENTA-2025-0151,CLI-2025,clients-2025,SKU-8697FBECCC,Abaco,,Juegos didacticos,unidad,4.0,17.0,68.0,34.0,34.0,SEMANA-1-A
VENTA-2025-0152,CLI-2025,clients-2025,SKU-86FCEA2F11,Forro Vinifan A4,Vinifan,Forro Vinifan,Unidad,4.0,7.0,28.0,16.0,12.0,SEMANA-1-A
VENTA-2025-0153,CLI-2025,clients-2025,SKU-87FB5C45C1,Cartulina blanca,,,unidad,31.0,0.5,15.5,9.92,5.58,"SEMANA-2-A,SEMANA-3-A"
VENTA-2025-0154,CLI-2025,clients-2025,SKU-8A83060E82,Tarjador animalitos,,,unidad,1.0,6.0,6.0,4.2,1.8,SEMANA-1-A
VENTA-2025-0155,CLI-2025,clients-2025,SKU-8BE215E80A,Lapicero kawai x 10,,,unidad,3.0,6.0,18.0,12.0,6.0,"SEMANA-1-A,SEMANA-2-A"
VENTA-2025-0156,CLI-2025,clients-2025,SKU-8C03C7B0A4,lapiz con diseño,,,unidad,3.0,1.0,3.0,1.0,2.0,"SEMANA-2-A,SEMANA-3-A"
VENTA-2025-0157,CLI-2025,clients-2025,SKU-8D8B2631DB,Pelotas de trapo,,,unidad,1.0,1.5,1.5,0.75,0.75,SEMANA-1-A
VENTA-2025-0158,CLI-2025,clients-2025,SKU-8EC5F5CD1C,cepillo colgate,,,unidad,11.0,4.0,44.0,25.6667,18.3333,"SEMANA-1-A,SEMANA-2-A,SEMANA-3-A"
VENTA-2025-0159,CLI-2025,clients-2025,SKU-8F27ACC7C0,Camion Ciguena3983 A,,Juguetes,Unidad,1.0,12.0,12.0,8.0,4.0,SEMANA-1-A
VENTA-2025-0160,CLI-2025,clients-2025,SKU-8F4446C65E,cuaderno surco grnade # 50 h,Surco,cuadernos,Unidad,24.0,2.5,60.0,33.6,26.4,"SEMANA-1-A,SEMANA-2-A,SEMANA-3-A"
VENTA-2025-0161,CLI-2025,clients-2025,SKU-8FC03EDBA8,Lapiz Grazo Negro,Layconsa,Lapiz,Unidad,3.0,3.5,10.5,6.1667,4.3333,"SEMANA-1-A,SEMANA-1-B,SEMANA-3-A"
VENTA-2025-0162,CLI-2025,clients-2025,SKU-90944B7E8F,Lapiz tecnico 6B,Layconsa,Lapiz,Unidad,1.0,2.0,2.0,1.0,1.0,SEMANA-1-A
VENTA-2025-0163,CLI-2025,clients-2025,SKU-92E9FC0267,Folder Top,,Folder,Unidad,19.0,4.0,76.0,50.6667,25.3333,SEMANA-1-A
VENTA-2025-0164,CLI-2025,clients-2025,SKU-937E9BF695,Saca Punta M-557,Artesco,Saca Punta,Unidad,2.0,2.0,4.0,1.3333,2.6667,SEMANA-1-A
VENTA-2025-0165,CLI-2025,clients-2025,SKU-93E5BF3071,Microporoso escarchado A4,,,unidad,12.0,1.5,18.0,4.8,13.2,"SEMANA-2-A,SEMANA-3-A"
VENTA-2025-0166,CLI-2025,clients-2025,SKU-94488B3896,Percheros,,,Unidad,5.0,1.5,7.5,3.131,4.369,"SEMANA-1-A,SEMANA-3-A"
VENTA-2025-0167,CLI-2025,clients-2025,SKU-95A43F219B,Cordones,,,Unidad,1.0,3.5,3.5,0.0,3.5,SEMANA-2-A
VENTA-2025-0168,CLI-2025,clients-2025,SKU-95A4EA7077,cuaderno surco # 100 h,Surco,cuadernos,Unidad,23.0,3.5,80.5,53.82,26.68,"SEMANA-1-A,SEMANA-3-A"
VENTA-2025-0169,CLI-2025,clients-2025,SKU-96A54B592D,Microporoso Glitter self Adhesivo letras escarchados,,,Unidad,15.0,2.5,37.5,12.0,25.5,"SEMANA-1-A,SEMANA-1-B"
VENTA-2025-0170,CLI-2025,clients-2025,SKU-98985FC2E2,Cinta electrica,,Cinta,Unidad,4.0,1.5,6.0,3.2,2.8,"SEMANA-1-A,SEMANA-3-A"
VENTA-2025-0171,CLI-2025,clients-2025,SKU-9A059C1BC2,Silicona liquida 250g,Layconsa,silicona,unidad,8.0,7.0,56.0,40.0,16.0,"SEMANA-1-A,SEMANA-3-A"
VENTA-2025-0172,CLI-2025,clients-2025,SKU-9A43DE1973,Tomatodo Mediano tricolor,,,Unidad,1.0,15.0,15.0,12.0,3.0,SEMANA-3-A
VENTA-2025-0173,CLI-2025,clients-2025,SKU-9B7EDEA31E,Lapiz 2B,Vikingo,Lapiz,Unidad,26.0,1.0,26.0,13.0,13.0,"SEMANA-1-A,SEMANA-3-A"
VENTA-2025-0174,CLI-2025,clients-2025,SKU-9D4E4EE716,Papel Sedita,,Papel,Unidad,4.0,0.5,2.0,0.5424,1.4576,SEMANA-3-A
VENTA-2025-0175,CLI-2025,clients-2025,SKU-9DACA2AC67,betun negro mediano,,,unidad,3.0,3.5,10.5,6.5,4.0,SEMANA-3-A
VENTA-2025-0176,CLI-2025,clients-2025,SKU-9E525049DE,cuaderno surco rayado 100 h,Surco,cuadernos,Unidad,2.0,3.5,7.0,4.68,2.32,SEMANA-1-A
