sku,producto,tipo,marca,unidad,precio_venta_referencia,costo_referencia,etiqueta_nuevo
SKU-21586425F2,Saca Punta Metal,Saca Punta,Artesco,Unidad,1.5,0.7467,false
SKU-D8FF390C71,Saca Punta Metal Doble,Saca Punta,Artesco,Unidad,2.5,1.8,false
SKU-B2904A3F21,serpentina,,,unidad,0.0,0.0,true
SKU-6549630E71,Set borradores rabbit y comida rapida x3,,,unidad,0.0,0.0,true
SKU-0B24D6F164,Set de borradores modelo oso queso x 3,,,unidad,0.0,0.0,true
SKU-64AF411C73,Set de escuadras kuromi,,,unidad,0.0,0.0,true
SKU-56432F1B7F,Set de resaltador pastel x 6,,,unidad,0.0,0.0,true
SKU-7EEE248D9B,Silicona delgada en barra,silicona,,unidad,0.0,0.0,true
SKU-B353E19BF7,Silicona en barrra,,,unidad,0.0,0.0,true
SKU-FEBDB0D6D3,Silicona liquida 100g,silicona,Layconsa,unidad,0.0,0.0,true
SKU-9A059C1BC2,Silicona liquida 250g,silicona,Layconsa,unidad,0.0,0.0,true
SKU-7CD255990C,silicona liquida pequeña,,,unidad,0.0,0.0,true
SKU-530AAFE75A,silvato pequeño,,,Unidad,0.5,0.2,false
SKU-FCEB95A265,Sketch book 15h,SketchBook,,Unidad,3.5,2.1667,false
SKU-C2CDBEE0B5,Sketch book 25h,Sketch Book,,Unidad,4.5,2.6643,false
SKU-D458444EA7,Sketch book 50h,Sketch Book,,Unidad,8.0,8.0,false
SKU-5AF26D5396,Sobre Manila A4 premium,,,Unidad,1.0,0.4444,false
